::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.563 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.432 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 0.998 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.062 ms
::1 - GET / HTTP/1.1 200 3711 - 270.399 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 45.212 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 57.855 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 75.604 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 24.154 ms
::1 - GET /article/article-edit HTTP/1.1 302 56 - 25.312 ms
::1 - GET /login HTTP/1.1 200 1102 - 3.874 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.532 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.263 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 25.806 ms
::1 - POST /login HTTP/1.1 302 46 - 262.829 ms
::1 - GET / HTTP/1.1 200 4893 - 10.305 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 9.995 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 18.021 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 18.725 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.893 ms
::1 - GET /article/article-edit HTTP/1.1 200 1615 - 31.808 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 5.543 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.163 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 9.440 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.487 ms
::1 - POST /article/edit HTTP/1.1 302 46 - 292.440 ms
::1 - GET / HTTP/1.1 200 4883 - 6.611 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.540 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.193 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 11.995 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.952 ms
::1 - GET / HTTP/1.1 200 3699 - 159.464 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 48.489 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 51.980 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 66.105 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.901 ms
::1 - GET / HTTP/1.1 200 3699 - 39.399 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 7.747 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 4.418 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 4.527 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.825 ms
::1 - GET /login HTTP/1.1 200 1102 - 5.271 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.874 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 7.002 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 29.532 ms
::1 - POST /login HTTP/1.1 302 46 - 331.129 ms
::1 - GET / HTTP/1.1 200 4883 - 9.537 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.406 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.996 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 16.863 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.066 ms
::1 - GET /logout HTTP/1.1 302 46 - 1.143 ms
::1 - GET / HTTP/1.1 200 3699 - 5.869 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.136 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 7.511 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 8.766 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.913 ms
::1 - GET /login HTTP/1.1 200 1102 - 3.719 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.161 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 7.758 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 0.906 ms
